id	estado	abreviacion
1804	Aguascalientes	AGS
1805	Baja California	BC
1806	Baja California Sur	BCS
1807	Campeche	CAMP
1808	Chiapas	CHIS
1809	Chihuahua	CHIH
1810	Coahuila	COAH
1811	Colima	COL
1812	Distrito Federal	DF
1813	Durango	DGO
1814	Guanajuato	GTO
1815	Guerrero	GRO
1816	Hidalgo	HGO
1817	Jalisco	JAL
1818	Estado de México	MEX
1819	Michoacán	MICH
1820	Morelos	MOR
1821	Nayarit	NAY
1822	Nuevo León	NL
1823	Oaxaca	OAX
1824	Puebla	PUE
1825	Querétaro	QRO
1826	Quintana Roo	QR
1827	San Luis Potosí	SLP
1828	Sinaloa	SIN
1829	Sonora	SON
1830	Tabasco	TAB
1831	Tamaulipas	TAMPS
1832	Tlaxcala	TLAX
1833	Veracruz	VER
1834	Yucatán	YUC
1835	Zacatecas	ZAC
